,galactic year,galaxy_cod,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII)
0,990025.0,96,0.3932875372785074,0.43781860895850183,0.18013369539764015,0.3309137447446133,0.1917786094321025,-0.13867888720925237,0.3767335981080837,0.2564133785918239,0.8028863155415538,0.5040077275666093,0.32105320499617207,0.513024972683723,0.10329925059866478,0.012343818335005608,0.38013864128296154,0.5980797296354523,0.16916887757172538,0.10325350966007063,0.1244597407626909,0.3169533456214109,0.4756061879417944,0.06143599286747803,0.6895466753543298,0.5818311494012043,0.04445268421819604,0.6195550730421884,0.10625407116526642,0.7456286437023687,0.5929607514839645,0.5718706488477769,0.4163932021518919,0.6480304801962569,0.6234110997464958,0.518578424051623,0.3577300318756036,0.09057205847323985,0.22635647989447172,0.52317523535795,0.5019155580919792,0.1450514518810284,0.12940585288109255,0.13129638810728037,0.07671650226864962,0.051341083083149164,0.16562310947838996,0.08594723365177614,0.08742701593394606,0.32913812908843565,0.16180093809954432,0.08009369393554167,0.1406366778152659,0.38164773490548387,0.8118201073242678,0.07107702799866811,0.18274752768459956,-0.19878176060881714,0.19171899988151908,-3.341474454570516,3.777085316631087,0.5291227739263984,0.10362409376369586,-1.2539167214292064,0.09475409836275644,0.18713487699266196,0.2774918344163986,0.05880130850020393,0.08588086143588747,0.18389896115074705,0.11057374554629362,0.371701653688441,0.6838645000699112,1.1138803759485008,2.266545385457931,-0.2101833737812271,0.18427742347910894,0.8704454416771906,-0.521034144482357
194,991020.0,96,0.3919021658937149,0.4266592063409259,0.11402819108455856,0.1974024887125067,0.23827656175289832,-0.09922822733371106,0.3173779109541517,0.2641758340944502,0.7801512359692966,0.5192043904540071,0.33388748314692585,0.7331201177134518,0.12423526236336258,0.11495626506526868,0.35958019141237063,0.46595505046576235,0.2179766386105143,0.11444555263109493,0.1163893586337508,0.39005094931241047,0.41511191563497185,0.12259757185963704,0.6542685422757799,0.5159810244895109,0.047203103194162016,0.6067152635044797,0.11016355541889922,0.7399774155605421,0.5957453008567715,0.6087393016632863,0.40822234720138345,0.6347749732949026,0.6109457525267264,0.6127927108179989,0.32848751886426675,0.11091239901367973,0.21072080702413953,0.591010239650263,0.4369555618206906,0.21335653497535034,0.18236706147153425,0.14895789731140252,0.07261800067486031,0.05060165604922823,0.19142185692821023,0.09186298900109158,0.11871412064226972,0.2966742274349423,0.1618173911340139,0.10101578169036074,0.15131844720226795,0.3461823437956486,0.8031532232816263,0.039628315666726976,0.18813769166992556,-0.1479423121210104,0.17593178364199913,-3.188169205888272,3.6251952214194603,0.6083871568257226,0.10094938581295576,-1.1922454800467293,0.08330070557687602,0.20237643566760255,0.2902541792393447,0.04813098666770799,0.10806982822797195,0.18698718825389535,0.1267007867192902,0.3678866956839837,0.6823608663349706,1.0931630472721707,2.196680796075327,-0.1673460132042024,0.1816659294749245,0.870445016100116,-0.4724062530604485
410,992016.0,96,0.4261409416656223,0.523757512756837,0.08830672401051043,0.3744821526730767,0.18271421950467454,-0.07600373553385609,0.30654393937760815,0.2569161142856382,0.7726488379105234,0.5344083546749943,0.34673819812654827,0.6937758360435891,0.1171108394449174,0.1094501749648682,0.3504762191475361,0.45905544367286666,0.21909421861007883,0.12077152820917855,0.10548698216687194,0.40412630977920827,0.4294852893925043,0.09002282074694956,0.6483327215450192,0.5077383325798888,0.04391550339708816,0.6041693174901326,0.11830513671222853,0.7289575469495206,0.5998663168769838,0.5956899305151113,0.3470587972419268,0.6294084647568594,0.6225177145201471,0.6022864453190202,0.34589128543943204,0.10180419264097207,0.23347624081682228,0.564805466974871,0.42458458100187624,0.18973887220982677,0.17982979194452103,0.1405228420830542,0.07132097757584238,0.052027743027867224,0.18649152885984677,0.08662752175002453,0.11427481085190028,0.32682411689178625,0.16192289172777663,0.11176209002601567,0.16629364231793353,0.34479458365403914,0.8256620384821116,0.0654283939645719,0.17128395108596495,-0.12125172224612868,0.18996268729349453,-3.034709899429828,3.4731524916776095,0.600992624346782,0.09827199007871323,-1.1305122647806698,0.09147139515916422,0.23093920719464123,0.2703778355041404,0.0504815772341054,0.11286592863442557,0.18615633991340808,0.1427760607830777,0.38006633754972885,0.6872638704916404,1.0724248995813817,2.126746001861264,-0.12446560540801244,0.18424563699469818,0.8704508429275606,-0.42372949613179856
543,993012.0,96,0.4513034048755487,0.4336264472019822,0.06113138432973159,0.3507521234501019,0.3259489712344006,-0.06277724844444066,0.32805471047105783,0.2655127667615096,0.7669788667757498,0.5496165636089092,0.3595847783948525,0.686065030829861,0.11732422654869185,0.12000078898466882,0.3446926897467275,0.45599697686728646,0.21957300615416842,0.1191527615802831,0.10902782958337266,0.41737197312945895,0.4378053548192131,0.09622125445962482,0.6410878609538369,0.4999569824454344,0.0465433573091949,0.6104174852049553,0.12089445699004031,0.7225174022118521,0.5982738426166359,0.593267987209301,0.3752490334692631,0.629808454093697,0.6199334106385497,0.6107162080081618,0.34800822195738146,0.10594857576109312,0.2293167663578275,0.5542141192528725,0.42430885306156707,0.20372487720213206,0.17985215368606017,0.14333299336323746,0.07305341190506617,0.05309117098344934,0.1945239423119407,0.10298070295066353,0.11570787798027105,0.3156138859712352,0.16196474636872657,0.13771798175420358,0.17917576515172762,0.33457891794766326,0.8196553962138147,0.06491664793388541,0.17779864814137447,-0.07682986543908044,0.18686895757645172,-2.8812505830762234,3.321109750283398,0.6155030984489374,0.0955945940977756,-1.0687790459547912,0.09016586453902878,0.24713222199395446,0.27302115983402064,0.07026445583120733,0.12838700130613923,0.18692536930881604,0.1588914576853213,0.3826304061712795,0.687936116916619,1.0516867506757528,2.056811200383052,-0.08158519455653845,0.184271699865832,0.8719595710509292,-0.37505273498018
765,994009.0,96,0.4904987856196793,0.5038712961251781,0.02463683217013995,0.2970692352565203,0.28513221828992563,-0.04259581495966458,0.3320202719066785,0.26896953674633384,0.7591370035624854,0.5648390709121553,0.3724461376805941,0.7080534683954445,0.11794467814728726,0.13491798265279975,0.33485032844841456,0.44037908241116774,0.22096757615118878,0.11853191019258222,0.10775971572756801,0.4456083805365303,0.4419470188743748,0.10006539024131444,0.6355865605836719,0.48431160133059414,0.04874735633771721,0.6186110523217732,0.12518821212710485,0.7154961182538147,0.5943330679323662,0.5930839379652939,0.35483065496580535,0.6324153849525431,0.620706490841648,0.6214935008975475,0.35716236025000736,0.10582540552518221,0.23244303118263288,0.5518464291208591,0.41542917552902203,0.21727498992674255,0.18313341670322336,0.14588196659218533,0.07078204247107994,0.05402408603209724,0.20372643356795272,0.11248640720089931,0.11759257108834598,0.3135785688875208,0.16202040044608676,0.16025925279882003,0.19209047221077746,0.320958570430534,0.8210634543063635,0.072888984995223,0.18050799396544548,-0.0363628045062967,0.1887022738667865,-2.7276371939248065,3.1689143589642015,0.6325533039427151,0.09291451003031836,-1.0069838470108223,0.09126617436133623,0.2659231638045263,0.27038301464780545,0.08833808599009885,0.14130141710939093,0.18674915717476434,0.1750124010253451,0.38769826286324705,0.6895486984106832,1.0309277806787414,1.986806185074883,-0.03866173194239764,0.18428351451469388,0.872869822754971,-0.32632710258163655
1053,995006.0,96,0.5632758963501917,0.4514579156568649,0.19958831762349064,0.2507230019243118,0.21642495713858895,-0.04440292903628773,0.39951917709959517,0.2900367502432202,0.7620284117388758,0.5800661760922843,0.385302523984814,0.7236811302001566,0.13875017007279866,0.1826274054526012,0.3172136723312024,0.3671154605692906,0.24797091807267357,0.10715107202522885,0.11658009999980301,0.5177981278201357,0.41014539802920463,0.14963292738601652,0.5999152208416403,0.42442408543204774,0.050231327601275244,0.6462282671144658,0.12848882051731544,0.6851772442298731,0.5717731008884845,0.6063955320990218,0.30692845793692763,0.634287230751553,0.5993822745314056,0.7145559937329878,0.35207786792632,0.09114093678067092,0.21593506949557048,0.6044098565632777,0.40599891897045454,0.28535336546311624,0.2062645026019867,0.167127267534508,0.06472163201929,0.05111397787388832,0.2391775073159855,0.13818931148017088,0.13606675785970077,0.2796933531450563,0.1620247563012337,0.19163385398893007,0.19989812786545244,0.2903187747775305,0.7951461853039272,0.065502233462833,0.20625037515351546,0.01688126074731855,0.17684431353657756,-2.574023796093371,3.0167189573840005,0.6711369684169614,0.09023442577092444,-0.9451886470044428,0.08330366318448844,0.2666568939764739,0.2821871628150645,0.15987144494089733,0.1606087363082711,0.18627903315177471,0.19115346388224808,0.38789123171027295,0.6879033298836973,1.0101688103009394,1.916801164965122,0.0042617332037693245,0.1816875305360363,0.871355362282363,-0.2776014669635032
1244,996004.0,96,0.49012525960662184,0.4072763186780709,0.11275368229925414,0.41042391875832146,0.2640949874052045,-0.019118351631430386,0.38258683173201646,0.2846286711879662,0.7494636900436378,0.5953005468779171,0.39817921958351477,0.6804088492622408,0.12014833596711944,0.1426753684492006,0.3231784733836838,0.4358992411901479,0.21715641296314947,0.11048978522044861,0.11523082952669383,0.4763956973884511,0.46684728418790833,0.10728792736737724,0.6108566743898134,0.4643209961260286,0.05377969224089618,0.6338004141506905,0.1242649648184595,0.6984188334177439,0.5830790128933581,0.5810718742485577,0.3702743111101374,0.6281593786072679,0.6131148939128196,0.6330823966310399,0.35989031246843783,0.10681264758311859,0.2252297429172887,0.5255297816812288,0.4204350219690296,0.2209897284150526,0.17862426935005543,0.1470394198393301,0.07062571974576926,0.05405024364940353,0.21535606196794976,0.1279162021712157,0.11963348262438955,0.299508259133092,0.1621187140180173,0.20312609172218288,0.21546089560035142,0.30067907222404067,0.8072353456426027,0.07873599425218902,0.1897163624278564,0.04796277989101583,0.187246493339555,-2.4202563359051794,2.8643709176167533,0.6326834552163625,0.08755165366696938,-0.8833314663671246,0.08805005666186155,0.291862687696657,0.2673916239237082,0.15146184465325163,0.17113341253249992,0.18664192045840278,0.20728554497816276,0.3943149870361422,0.6917528133492464,0.9893890187159649,1.8467259365444733,0.04722824718695762,0.1843506817405472,0.8845569000325558,-0.2288269642153864
1411,997002.0,96,0.5134682047920577,0.5683773051239485,0.09349203272784616,0.3775175079363286,0.23459179052148166,0.008042635848266144,0.36717770726039944,0.2830793192194081,0.7403504625298121,0.6105367478382284,0.41105399519990016,0.712379132139506,0.11716556529085831,0.15899628386428155,0.31397705840141565,0.420913363672911,0.22127936065846276,0.11606189262946903,0.10947830817913862,0.4987580392453097,0.4727918157450297,0.09874214964228623,0.6038557012954104,0.45139382784017457,0.053565245217619406,0.6369801131522053,0.13397645721893703,0.6887889861298948,0.5852972379138599,0.5792832413630729,0.33004099804750675,0.6271069423763489,0.618344277935118,0.6403258977261252,0.3715366902378978,0.10488957627179107,0.23643108388448764,0.5160411556475335,0.4050165768885048,0.224989795118824,0.18131040688187122,0.14550356476224136,0.07103393892091765,0.05509141036423465,0.2190723199861635,0.1352007056017688,0.11948266329163837,0.3067916781276874,0.1621880573729746,0.2226791691153167,0.2298811646924257,0.2923444073680148,0.8177143908282949,0.08930741645542195,0.18465388425864493,0.08468142240009513,0.1927055242271023,-2.2664888735673117,2.71202287605351,0.6537889205445593,0.0848688815128762,-0.8214742876221521,0.09252504490005878,0.3181606115868121,0.2613327074721239,0.1493266015667558,0.18000489924011198,0.18676541147952236,0.22340755917856825,0.4029923801405788,0.6943204415977268,0.96860922774108,1.7766507073606164,0.09019476165213547,0.18436071442375043,0.8818119363867492,-0.18005246057419555
1570,998001.0,96,0.5781170216987361,0.502571290054945,0.08408248842773534,0.3582314265871823,0.20907148125277628,0.018428043021472718,0.397587904766624,0.29333671793766136,0.7347192930932982,0.6257916440698335,0.4239399536675883,0.7095217993716852,0.12089536382550042,0.17232586029842523,0.305853820884316,0.40917409159714957,0.22008269177123696,0.10979743327887717,0.11437799622771999,0.5266866429682437,0.4781984641126602,0.11486280020369066,0.5970015164205105,0.43566616107968414,0.05762482370151867,0.6478459874466358,0.13311165393074909,0.6829206545051933,0.5769985150144317,0.5791568507127742,0.33383528577138977,0.6292611498201723,0.6127402271660845,0.6526202339106559,0.37355951853478153,0.10646945456147827,0.22904273483864768,0.5158159042499211,0.40485983135750114,0.24363441351592918,0.1833782789693741,0.1511119520721529,0.06855427965200003,0.05586224170105841,0.2313919779278617,0.14782062777863203,0.12308928123344987,0.29301917128632016,0.16222664334023415,0.24803802882907178,0.24126933811673545,0.27589110024166175,0.8074286395890689,0.08986607481551445,0.1948250447758899,0.13012333002427567,0.18932260884659335,-2.1125673297650565,2.559522173736383,0.6638314285761249,0.08218342106803167,-0.7595551246705838,0.08920725522412212,0.3286803441328061,0.2637161104670258,0.18673060678079167,0.19785578354623823,0.18673886242235835,0.239579637264427,0.40360741653965615,0.6947360696617714,0.9478086142930451,1.7065052583696314,0.1332043305726387,0.1843747786528054,0.88897839095902,-0.1312290823740625
1758,999000.0,96,0.5272399300110636,0.5242841083405956,0.12411131309121884,0.29328975821189596,0.24791759531078944,0.038306043914978716,0.40292710497787,0.2978655963077568,0.7267399448301646,0.6410445715695516,0.4368261465961911,0.7361014176530265,0.12149990145261924,0.181790471424355,0.29760104515694064,0.40239961030861693,0.21906256766066667,0.10813998082407528,0.11526722934632416,0.5464269446487471,0.48642587534657444,0.11794716945061845,0.5900947475771812,0.4243806785147104,0.06051193642320252,0.6566545464905058,0.1352513536000468,0.6767246872471215,0.5719313372425212,0.576592726900973,0.3475823786086165,0.6310790598518823,0.6123044445413174,0.6603106397926686,0.3797702946577388,0.10843615829426634,0.22890580248291248,0.5077701191278656,0.40159368611660007,0.2528656263665612,0.18369138293558213,0.1530666669338827,0.06783150092376716,0.05645101868435082,0.23941881000980825,0.15834294621653378,0.12412402107060183,0.28779591144727146,0.16227793376329652,0.2709615303710322,0.25375351886034814,0.264343285558315,0.8052705721311828,0.09541581949140276,0.19916759957140728,0.17188101270576084,0.19020237590471356,-1.9586457886300934,2.4070214748011836,0.676241568925219,0.07949796068267823,-0.6976359631646218,0.08938832151542307,0.34589896177990553,0.2624498536324822,0.2078171992467972,0.21156993700918214,0.18654138621123545,0.25573573306055764,0.40802803011266064,0.6960262066098929,0.9270080013355866,1.6363598111411761,0.17621389866948078,0.2114352812255509,0.8889779139094004,-0.08240570513656564
