,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII)
661,0.68087161055914,0.7495962591172941,0.1051659098739769,0.5910010430838999,0.5107607994481914,0.5176002144311458,0.47672048580087506,0.4319581822635225,0.351351025464828,0.6205614984242329,0.5694535888470865,0.40161167996749214,0.15085255302696823,0.5156436273864026,0.2025657650717086,0.3350103494374018,0.19553259003655293,0.08576226310507512,0.13582272311837607,0.7582341488353708,0.7437415306768138,0.1338270636386062,0.5569429935033454,0.43369705498549516,0.08469880068426879,0.4424216643483194,0.17157881363888838,0.4700934969931439,0.4209599932459107,0.5478326239504896,0.5598551775962677,0.6755850645669556,0.5583493688071658,0.5431980841426751,0.595513166617036,0.15557048777822444,0.24532279883070607,0.31538648356879223,0.31805362220288547,0.33401631573706314,0.23817756564727918,0.18602609107086382,0.09369873435056572,0.05415741591661369,0.15216247398612098,0.15938792368933086,0.15459425891067005,0.6077706807051233,0.5148255443578921,0.48962907445669734,0.4433921064689613,0.11112864691371167,0.30750796059145996,0.1630195792003532,0.2006622519670582,0.6301992616690797,0.1480982580161922,0.3909696459318528,0.48337911724558585,0.29737884747405174,0.04854165176729227,0.4722381567825226,0.12092881593138345,0.6339412411650033,0.1433198641000553,0.17544917725533873,0.20708466824329022,0.28802274265274863,0.534663665824752,0.6384932043932283,0.7900119694476379,0.4710947114846133,0.45789174493813645,0.7245919887367058,0.18397256868737816,0.9077115971745047,0.5906923840574315
1934,0.6458562251719858,0.6583862340251763,0.19328837158653875,0.44074113332652054,0.5069143859395008,0.7152606045776705,0.653711817772525,0.6009564387265652,0.380788485619757,0.8353860466263231,0.770849641045532,0.41712962177851576,0.10891917247454126,0.5051139736828418,0.14556267838970144,0.18380019003082054,0.5056810755359773,0.10786038932639569,0.10429083862195239,0.5236683550576999,0.7125452218503361,0.11353269265353977,0.4057324307650407,0.2853317939426424,0.03799872235982675,0.1966797501326406,0.303923444500878,0.4539192906540844,0.4050293409786885,0.5285846623796981,0.48900637270204383,0.5474974126941762,0.4318980247566935,0.22578483922809547,0.6367783039346833,0.10113085579374528,0.2661990638614755,0.25441607235623054,0.5648566043388019,0.1368561800332373,0.20691951658728508,0.21143819633617264,0.08710372230500231,0.07324785437335876,0.3396395244001281,0.17899567766016983,0.13605554453239688,0.7327550448930888,0.7040651259511909,0.5936374309149788,0.43447573187752825,0.06820845786567145,0.22507247318723148,0.1377080247890239,0.15039353917992293,0.7814218426874018,0.23518723901955996,0.7988984936102502,0.7625373010370731,0.3219421174467605,0.017513030576731103,0.7524056108280753,0.10377538485486232,0.6736319882571494,0.18978657557294598,0.16609389796106727,0.3405502529305561,0.2760198588772976,0.4913029730808903,0.5594135265622265,0.8701996806345859,0.4326886276581349,0.3955650357891821,0.6153532260589849,0.17812673185541159,0.9061894863193483,0.5530475552442067
1046,0.6664422503624928,0.6439630914635662,0.15966602565600874,0.3595424941740045,0.5567079671427528,0.6058349784650295,0.5583231033762679,0.5241475889430359,0.3677105624823313,0.8485091659280872,0.6544595738509273,0.3034914051410387,0.12352273951587182,0.21238865303515997,0.2637797041971826,0.10651291606431279,0.2681327164213562,0.10539706420138462,0.058021474616119985,0.7060404083109233,0.6720664622580831,0.09205974854632798,0.6257272157703764,0.2822852997947053,0.15581227898025596,0.5973693102922665,0.05778618108912076,0.467249882818619,0.338138881255186,0.3596383847325764,0.4215911167430344,0.6077758524847576,0.48601953191687514,0.24582185063046968,0.7402867799110383,0.2868440041983473,0.1258541346260491,0.29537107359859605,0.2801261896539174,0.2790465616484658,0.1768818345917908,0.17391367492828222,0.07134002677318817,0.06446952910178247,0.23329024149137076,0.04820471639162057,0.044200103150524195,0.5168804201444303,0.5581451440080468,0.6657779683575217,0.4483512399360725,0.10805672739319534,0.22623653802901947,0.18069142299830768,0.14766730458731547,0.7218582164909508,0.22948933195899957,0.5640067118161537,0.47785908632519675,0.2713343033160141,0.16243061730785666,0.6066783473408772,0.05266909843533525,0.663288590476204,0.09482087344804181,0.19219115804778925,0.20078989751504078,0.15329411902971302,0.5758513688660257,0.5839438538217118,0.8049881948935019,0.3314633617024818,0.42631317574801103,0.8257604378267528,0.09898911873248487,0.9510360558134411,0.7840727589477192
3069,0.7887957860889844,0.7919766914717911,0.09137359799298546,0.539621706977491,0.5599436357389355,0.35553781546169727,0.519137495336792,0.39356496657322537,0.4308312137012926,0.8558368964517756,0.63494137301899,0.4638929360986993,0.10131037549140297,0.30256449036669336,0.08858974794566017,0.06402943870831726,0.22236172480293748,0.09129978880892149,0.11208347602533769,0.745649241033658,0.7219112381628864,0.07537422467494297,0.3882527228012818,0.11335883563631322,0.04964538081137333,0.3498689820619616,0.25812130322595167,0.3080937548347584,0.5041313874401228,0.45398822713327824,0.6966676569002541,0.8014446899885784,0.6270304656182853,0.16804884601844672,0.5638458045795857,0.12204248802243854,0.25722879748817357,0.10949761145458643,0.051894255734609915,0.16311060287267895,0.16285822678056613,0.12198857514613412,0.043324449074236965,0.0792167386024567,0.36080904557111015,0.2550596158377732,0.08402493869104172,0.4684367485693984,0.37901687182781646,0.5180291369826077,0.41378869880156116,0.12064505722183382,0.26039847732903,0.12247825970963129,0.29428205044938416,0.7324892352616789,0.28307328386031744,0.3014267455203028,0.2736645348696774,0.34131696694461316,0.04733206770186551,0.3692343752504142,0.08672838056126639,0.5990942883642618,0.16504325731900868,0.607514311721628,0.2758902783567647,0.39842726346280966,0.5782344369693417,0.5077450758918995,0.7475331431164491,0.4873802369237021,0.5999174537494312,0.8364404864665339,0.18094419070301065,0.9010722004764983,0.539591685118367
2212,0.688850758624238,0.7329981555217943,0.20118621349590027,0.6451693061032265,0.479946674414631,0.5953889243574431,0.5873344292018051,0.47041037396210694,0.3892681795511563,0.7972910823704374,0.5893290856430127,0.5222542786825576,0.9485545502615422,0.5409273908483352,0.28413213249089697,0.2708263646533848,0.22294419041837923,0.9236421462213367,0.9195462255450315,0.6177795877388043,0.6354961560398528,0.9693898245100001,0.25190425430285396,0.3327912599027603,0.059383940545382895,0.5140347042573464,0.19443415542917436,0.49581316389134517,0.4209101514197177,0.5168559097224547,0.5888464165542273,0.5891700226273615,0.48597845334197226,0.34865025593713955,0.6421671078042319,0.094899362626336,0.21815996971628387,0.1392628805772919,0.25845446595570487,0.1839990948721916,0.24610746894296076,0.3029144025841223,0.8782627428386109,0.051455732648915134,0.2228461694659392,0.4646044536147507,0.14254717204550343,0.6504841022312168,0.414500211823669,0.5025617417339714,0.38708167673409466,0.22310521294891697,0.21582866680683932,0.24988023336231086,0.22675426884106747,0.7449181125006639,0.4877692581746046,0.5250735183127548,0.6013831138493498,0.3741106474657072,0.051432343337802014,0.5366200709344813,0.8808704447798743,0.5914807349540747,0.2655128307345277,0.40723943934072776,0.36546548354107844,0.4363719109691881,0.47790730508119583,0.6666909878303924,0.7721253594566766,0.5028379725406359,0.5789037362703214,0.6923500509750999,0.15513755946313074,0.9059160792883679,0.47039149429650823
1871,0.45176788443922095,0.42666281132124034,0.13408927027223053,0.5271589824370476,0.3993906242528656,0.42019561641933767,0.3720031855188997,0.4201653260474069,0.612653875800189,0.3948802500126502,0.5171174570181132,0.5711316598686247,0.06137330832466517,0.4966761030297202,0.5335812559024602,0.6124816614304881,0.16165119292238417,0.061845795051822514,0.11515682866347664,0.4275507730466789,0.42081589463214597,0.09187660735576342,0.6513919578950191,0.8513832303180464,0.0627093676777106,0.6370779906355565,0.26949077431880236,0.6002726830645232,0.561277713044811,0.4747042476216889,0.4659012879894477,0.5725847754609247,0.44188342971199496,0.6281011928463603,0.5183477430932906,0.11386286732745045,0.32488279507675216,0.49629135870477714,0.5136557797929694,0.6661556688014295,0.672687408186624,0.37781893139145395,0.053635381515394036,0.07735616773153998,0.3443152604434748,0.2448779967440401,0.9876717557363645,0.3086495990890851,0.4276160217821533,0.3423397493412236,0.3873655451145084,0.3001769390312322,0.3647093151327831,0.24495392829799306,0.25689172676487665,0.1678485155589006,0.16522719677752318,0.335333568850878,0.4163627345099646,0.6350956869147669,0.0541661051976096,0.4414334661619791,0.07752750997837178,0.4899795024911407,0.16400493933098434,0.1543481314962051,0.1723898915380014,0.16497658536008314,0.34772993280415126,0.3261368176515526,0.712353887504078,0.5312518387355998,0.5798436856448465,0.2435220842282093,0.2739155664168353,0.9024389408229029,0.7214649083517992
87,0.40152265298460527,0.4229594858639497,0.10936503427951975,0.36083180426951605,0.32822697914537713,0.2918340978791006,0.37488645281738653,0.32993393426784623,0.7396682437629252,0.31440185749537425,0.18692737522491987,0.21120710993570915,0.06660027878385062,0.19877495375763624,0.36443353754722363,0.3717221006447573,0.10291235655984128,0.1326083176385813,0.09731275860058834,0.45483089040904445,0.43086682360892475,0.15345465216465887,0.8218687128263662,0.4155527775379205,0.06569345229990033,0.8638805070290916,0.40745894628711293,0.5687427586565026,0.7183337539046206,0.7865177147899183,0.5182976140487394,0.6883850139721636,0.686154293362863,0.3933983238646608,0.5518823939442223,0.03886130754283958,0.2927951656520668,0.487134203015912,0.5288189026202934,0.6002915834056137,0.44360726874841655,0.07306149069030099,0.0617965595987243,0.049875218099674094,0.3239560263298658,0.6003075955969163,0.12945801633062629,0.290738799381136,0.3967252712115876,0.11603198799501488,0.1891020319131821,0.3685473392016858,0.647369702303896,0.12988936279942925,0.22033314775314378,0.1316873521704876,0.13044908943086023,0.2594894551082402,0.3814220470392991,0.160966188680273,0.07779239464140915,0.3205949245298191,0.10335559330063235,0.42036369812385044,0.22544171876366445,0.1657806744889976,0.23039209951313422,0.23758688381798546,0.2521823488340194,0.21124921114142337,0.6851356655268257,0.7999548649103766,0.8584689152132989,0.6298173923434516,0.23228231841795982,0.9169538517715738,0.7385594090332313
3710,0.6884693463079941,0.7102524063537003,0.22562554468637205,0.4870610303332507,0.647128526268562,0.5567781526272992,0.5896991868950722,0.6241201371953143,0.38172928672772405,0.7278644273855326,0.7017972053423268,0.5683457592335335,0.16678847931080887,0.6926516603167208,0.16085058561594504,0.148917941932941,0.4235063399810864,0.046248076062197975,0.12380367211953512,0.5860830269906498,0.6673119131160087,0.07812987865605399,0.27249407948229115,0.14520110117852914,0.04255014203018365,0.15266530414488272,0.2080599697477131,0.17880219772819206,0.552229142547766,0.43210835000575476,0.6558287560343247,0.5281287022555556,0.5996722896133381,0.5751100949789839,0.7417164111896666,0.10384135186152078,0.24673029138755143,0.26060685580280807,0.5023197607016174,0.11363970745270327,0.19631507842190507,0.24953703206988126,0.052309668407805696,0.056919838658992576,0.3034651831387661,0.5387333941102108,0.08125481622847787,0.7223497051653511,0.6469281114525378,0.6415366748331989,0.5539155575921808,0.01552578556688205,0.2526506542773499,0.21477475033097154,0.27343289564063594,0.7606938775246711,0.14277212455052624,0.5902489383990699,0.5969487125426846,0.4668739187415481,0.056814584153832594,0.5984834836406594,0.07883392884680068,0.5015363720749736,0.12511586589497278,0.34221705948790637,0.39305959354134884,0.24913374985114076,0.6321142523015407,0.6917963511484801,0.9043401335113892,0.32331218412897433,0.49695833484487995,0.8087463950536878,0.09517601272015395,0.9168369056117716,0.4242321953091542
1025,0.6927211173325973,0.7583308685233493,0.17084541138556766,0.558847902898545,0.4818901158020673,0.7296260018243327,0.611931843711978,0.6464187344533482,0.2766596359620452,0.7880731909904983,0.7720521088334806,0.4643931499135261,0.11808986573959133,0.5742561350822348,0.13992198199726802,0.13749615761222553,0.42207401598052846,0.10622465673969234,0.11252469217412257,0.7184013405152403,0.7079007372856334,0.0913702490181097,0.2974530396354964,0.28641881417253556,0.030478969301922846,0.16783508194989302,0.4051878729491158,0.22559305567607718,0.5585735548251252,0.5604344095140523,0.6518734452687432,0.5648875947148717,0.5006062818748195,0.42590100897923044,0.6109788874392691,0.09778846549606358,0.3774460811567482,0.18753516859672795,0.3562885945822057,0.15470836090199275,0.20501116583360873,0.31066589389692983,0.06561900959329024,0.05005255911146745,0.2929376890448165,0.3398307584947401,0.0822102950554995,0.7307151748297095,0.6698441197530642,0.4850032228231265,0.39314155873354634,0.10689227260621317,0.14416455892068228,0.18893158783046893,0.2734383450880951,0.7857838535878515,0.2622841712980734,0.7390039611758548,0.6846572517704423,0.4847370329890252,0.04365957398863008,0.6294027972148339,0.07796338086439648,0.5986995865751573,0.10310355896625101,0.24230010621643377,0.398503143017866,0.2654892663341449,0.6605200258115737,0.6891088493886536,0.8119545849651112,0.2638948949508907,0.2888066847891637,0.738232863636574,0.1686462854926777,0.9161772670630287,0.32869576734333833
3107,0.794526904202129,0.7172908189002511,0.20627470264548917,0.5716043104122205,0.44867283029905547,0.7726389993247027,0.661183814321901,0.6151616248386714,0.42411623226759926,0.9048386232655812,0.6176543181862104,0.3845756676413677,0.11693739670672353,0.4478500297240646,0.16286654478628831,0.17147797808110674,0.5067254943169932,0.131863007058895,0.12099679678856676,0.6402881310065588,0.6570848209329724,0.07519430549069114,0.3664808701180219,0.2988773869951578,0.051542810872767346,0.5083694708473846,0.30542556035407503,0.5318314239534565,0.5532229412129233,0.6540221968450021,0.3215733461575915,0.5676999220539142,0.5789747725480753,0.2931846701924778,0.5998230781172568,0.07586584361375082,0.36517076777665036,0.17325455632684011,0.3782723164381876,0.2100391142557196,0.13303328916039456,0.16737927215510062,0.06393295166291722,0.05149882421866278,0.22511372327398219,0.14571904757315782,0.12104090817657301,0.708359565232775,0.6701422676156298,0.5628088883608369,0.41382294813403475,0.1504329683913163,0.3317475657279801,0.20358939691369884,0.2704038870947245,0.7224239774162041,0.23481205904194613,0.6848065019572964,0.7015883159354073,0.3724093218485572,0.045444648484928685,0.7421793459475482,0.09389882652017416,0.5375284351572459,0.1984201785965224,0.224509539412707,0.2807774092159497,0.23588339755949614,0.5463178139357987,0.5521173486344889,0.8448653563471431,0.38998207079463776,0.37087123634075103,0.5844051302548846,0.15711858461575529,0.903228676404678,0.4516883404030493
