,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII)
1432,0.5487867942740836,0.508896936587181,0.18160597021488828,0.41492665425371694,0.39193680734884956,0.30916676071451593,0.38218023515809674,0.31815233294900364,0.6147550577588152,0.6697772112626216,0.41099348131699426,0.38082789883900847,0.10734543450660922,0.3377312103687121,0.25667736158822574,0.29787775682451095,0.22639789359630869,0.10974229001946567,0.11955651824996463,0.5905366013939719,0.571089636161487,0.1231430048872561,0.7375766285828971,0.5051368379432126,0.0497128238250665,0.5426838497062824,0.3225142418295183,0.5145724387640263,0.4535121108325315,0.3429071218954692,0.4173284715555016,0.7557283542988267,0.5150729992551519,0.39995230891029376,0.33693046691219,0.10078111765159974,0.3216644145029699,0.31320465464844804,0.3787108033519333,0.2568665310515129,0.24880409333211487,0.13038252517482127,0.06879135921264516,0.058086569251722536,0.19278419080610154,0.20451360201409532,0.14536325152917182,0.2935054783417462,0.27031050646484794,0.397693046349075,0.38741911062707407,0.1713858872331207,0.660140276398817,0.13992240550287366,0.2064305026848242,0.4950677852292415,0.2535595279116715,0.23952531721397166,0.312789971661214,0.30056041886121565,0.06972692630341994,0.272449431513362,0.09170285320818838,0.5960923111740831,0.2872318841161586,0.12053485577195688,0.2576014524136717,0.2281959454980408,0.39795604185445516,0.4367294367009028,0.6191825898552125,0.5750364486022089,0.5150911403630509,0.6781773734242748,0.11572132931102418,0.9223852768540715,0.7501842001627965
2855,0.7338486686471641,0.8276559965252067,0.14262604511622218,0.5568485930464044,0.4195213504236234,0.43441454134510693,0.5340882655703919,0.5987851387094377,0.6204334581661072,0.7256626744150737,0.47205150368645504,0.6441029783754951,0.27591109051746265,0.3990795428975818,0.16690688889737235,0.22415271788778482,0.30682442220253586,0.2546815356180249,0.2795172081182172,0.7522765214828054,0.689309645864662,0.17687153577973008,0.4084845935014564,0.19631269798020431,0.03466506215395189,0.4530480585231231,0.09143218223709175,0.514859517032626,0.6094165919619338,0.6506145677614567,0.3024235537335389,0.6231214567834504,0.7197163800382305,0.34917224341499997,0.7046372225657305,0.09655580410140058,0.2542416446793702,0.2228840516023576,0.33532596180298424,0.2758612884938726,0.2654511905575704,0.2384642756867649,0.16045539541828505,0.059208966461901595,0.1499620477479752,0.4078572336927001,0.09838719561882488,0.5494488297840668,0.4912861499999776,0.4046046551781291,0.4490839152410149,0.01993738929505985,0.27284761802993984,0.1603359094583654,0.1950950096496689,0.7235565773369464,0.33517693396628906,0.4185781380964948,0.5832455021023807,0.6098491308658909,0.05058617647798468,0.6272857091507,0.14515630169573204,0.5604751991265567,0.19435462574330836,0.23761495372623562,0.1963454469648387,0.2636633461798092,0.6155080922815956,0.4692338922666563,0.7045382394339581,0.596662971670869,0.6998666260814841,0.8427640351167418,0.17018332940523284,0.9401383957628764,0.42839478914176093
2322,0.733363325863747,0.7333315144615307,0.16548888647109256,0.5906444536443504,0.557025445675521,0.5284383668113781,0.4978503101076351,0.5197666733663336,0.4856065390523569,0.7922025335422482,0.7421259236901706,0.5629284388347154,0.09348688766703975,0.6307121586766636,0.1734021869059304,0.20598802648228287,0.33090295962477523,0.11194069265942208,0.1288799732368087,0.6893519467341823,0.7374731278252364,0.12121913953301353,0.5019195418686649,0.2329650162660573,0.06857241039400108,0.307293380768864,0.4664432901867097,0.33643440434253774,0.26046231973214656,0.400802090050744,0.6842985106148289,0.4383369272170322,0.2945339581224891,0.35891073288710024,0.5028516433308217,0.12345124313746307,0.5321792728657091,0.19614045414309822,0.2715478818004223,0.250602131474258,0.2546534001348706,0.13724315573574863,0.0715124696161744,0.06630200639728154,0.2200700690120367,0.14806476937797153,0.10808373804215157,0.5217080943835054,0.44598504661620053,0.5532274812871237,0.4484808887042649,0.10742733179054229,0.28760591301806704,0.1832397876868292,0.18580076578887814,0.7386017359584949,0.23701052004961767,0.5572463659555974,0.6665876490189392,0.43231492954575795,0.0652177450516005,0.44652682353632067,0.08243029913999073,0.5780538753456957,0.1323737913761555,0.42686428488555184,0.3469692309737762,0.3024493022505622,0.5662664935379751,0.6844814575573424,0.7623789059338056,0.47886544776400636,0.5366797176734777,0.7484581500995579,0.16508948054664277,0.9155476980185512,0.5618542583796325
364,0.32019503531551735,0.3987987384491532,0.07649819777674871,0.21704152004251176,0.15916657161743267,0.21120291084266768,0.16365907597022272,0.18592851708174454,0.5990600581789686,0.4336537601262949,0.29131431294165283,0.3454829364964617,0.14851883004278194,0.09150831056390771,0.655719463426188,0.6195229275508466,0.2416106797121398,0.12387867128933715,0.08013908452522242,0.30496608810751674,0.3550264169409144,0.12455979261034685,0.8622358771968777,0.5653637904468377,0.04902433381754706,0.7684692922906254,0.2339002195534123,0.6745900294857512,0.8302765431586427,0.7578629707078317,0.2682023367645889,0.8994450744383803,0.7112614164842509,0.25344614861712783,0.5808797893002475,0.0986976413645629,0.2753735366294351,0.5389419509674026,0.5507454324784711,0.49115195727429867,0.3100255171830902,0.10535839080972373,0.04461937961209394,0.05781723974505202,0.12977912484321538,0.17733043460604805,0.1776831457849176,0.2807964793609261,0.18090967960135332,0.12425780866075839,0.10134019808403597,0.3533362388191056,0.8317681631620508,0.08833337631950586,0.19823505904475522,0.2376177027383557,0.16520954077316116,0.12406229252114521,0.2268929404627339,0.24036139761349135,0.06339425087138595,0.17266865917654942,0.0863845446540272,0.14802686376864896,0.3237164452495549,0.13248312669856213,0.20351720639828652,0.31759890358006837,0.15328473608067783,0.20388413354638882,0.6561033640803718,0.7269492416464656,0.7158959499459485,0.5495184059171969,0.2172803761320571,0.9209648064698548,0.7230364455984616
2462,0.6601894050583171,0.7741426729313442,0.19816861901677768,0.6053840167604735,0.5231501717795041,0.34269750466477417,0.584042089424386,0.46975888013779227,0.4646682975542043,0.8399115398416787,0.6817718467691071,0.4406402714916988,0.11347909871436923,0.4985296253328146,0.21828465182284526,0.22715165429439543,0.37761173919595087,0.12439213733194733,0.11767492412126182,0.6940767924384749,0.7601694988276496,0.0970593675142898,0.4002125068922569,0.303804028144496,0.04960734831488084,0.3846897876523608,0.41851061773177417,0.3444550447516356,0.3792018732043693,0.40430896553275303,0.5828405370389084,0.5013859295444709,0.33460123848233814,0.40790593702606426,0.366107676978647,0.11609873361451727,0.440805421735219,0.20693022910794562,0.3317501701091044,0.4691939320395804,0.3120115258286798,0.19836477337264122,0.05041983653510987,0.04847067707429186,0.19012140984777043,0.17398994622198372,0.12970183529982546,0.4106909985728066,0.41391419796233786,0.4173183904617178,0.433762474467268,0.12129381200848356,0.3782389457630076,0.19663867571000482,0.20940866278870385,0.7673290225848849,0.21943447826063214,0.4692084878490373,0.4672579733125923,0.3301326696534739,0.0495741603204038,0.32722849530374476,0.11353188704612624,0.6078954566048496,0.14856630024361925,0.2073220557688563,0.27704255996725224,0.19789957146875467,0.5520922761749719,0.5502733153772126,0.7350302888498262,0.46680113402986206,0.3902662658680897,0.7458315857184306,0.14222357739175798,0.9224210835954572,0.6838839536973957
1759,0.5762880639286538,0.6250902869138611,0.14684393912985166,0.37726548440621205,0.37652212925086004,0.2275235925076862,0.4403669359214801,0.3835684472474845,0.588119159678342,0.6584117960676102,0.6340221965576597,0.4736911355462153,0.09750302247267877,0.32550403481826923,0.2772954681442079,0.3011469156460899,0.17966958360098542,0.09594601996277645,0.12408010684799921,0.49481039408779437,0.5618032451011172,0.07775124204920092,0.7380267360318152,0.2742829890668437,0.053740562997460224,0.46393199106766414,0.3385891195880928,0.5180827392189572,0.5579747076802171,0.591109079978667,0.5186491796601064,0.6619450907027764,0.5778887412947074,0.36953640382769687,0.5590204171190877,0.07512588469951734,0.32380244258677104,0.31890082234251343,0.3920246638884619,0.3539020811294545,0.21922098550056973,0.12576379217865938,0.08120793722177004,0.06952091838358626,0.3644752908046165,0.3189333623303802,0.11072168666997119,0.5744378651312051,0.5263843327382957,0.48712788439827515,0.34825916427281,0.1293942337695354,0.2626825993019501,0.1801175005975767,0.1980860332424006,0.33513960101295337,0.25797415523832806,0.36795229575422894,0.3929393984514237,0.5424355061977776,0.06444148027632429,0.3844407857857332,0.07673773682060775,0.5475926357219744,0.25138799635484627,0.2113327836415507,0.21507725916576803,0.1756870529946882,0.3157495093143447,0.46210451250146933,0.6184252378252062,0.6566976129238248,0.5884996470408099,0.818933135960091,0.13970717061480004,0.9311503769668942,0.736561245286564
299,0.5684308965814135,0.6648320830603512,0.1408008918911548,0.18210411179255473,0.48733469672925744,0.5944929744791092,0.4709605415449925,0.5399621752578915,0.53038721903357,0.61583232183822,0.4927197073465925,0.38175311538061324,0.11797049749750056,0.2859716172790179,0.2926397146888566,0.35117083649178277,0.21153528002377103,0.08768616972545283,0.11989431619173613,0.5671286798297852,0.5178717614370247,0.1094005548097806,0.8373360322378605,0.5338934402229228,0.06136033801629195,0.3798986743584057,0.4515786145190623,0.3452592212886769,0.4076410464619421,0.4791045373545608,0.6523647470227382,0.7313812629569609,0.2881027302620383,0.5863603118682579,0.12445304852603599,0.11783975154909782,0.34492371665691646,0.3429715280131234,0.4328688541984299,0.35486233611145085,0.20916147403281288,0.07518087973848446,0.08038334168587939,0.05047099311839822,0.2533827794111102,0.17956161459384812,0.19115196266219092,0.4033173773820258,0.34247681432553767,0.2523260208889636,0.19862800443406345,0.1936357174538618,0.5338478118235601,0.12774293280729634,0.1769807025550986,0.6579103205436653,0.2062062687337664,0.43578828459492114,0.4249510763636604,0.5794473487902091,0.11673485807316984,0.4316407883599168,0.08148228588681715,0.7048809135205709,0.24025050371689444,0.19492261964795957,0.22186710252085298,0.3867402258592322,0.20686825718130558,0.46781541783370156,0.4773439942359196,0.7793747611874835,0.6160486342467715,0.7712507107653636,0.16926563577953702,0.9281944292810514,0.8211076584010673
1350,0.5270043341765979,0.4641639714133643,0.12568840859661426,0.13957222230951288,0.48419258403616383,0.6573022410593197,0.483721367281854,0.5291694377715629,0.5651472035333159,0.45419424471625236,0.6114579162561393,0.4527064230406083,0.08426175982955537,0.19383371610247258,0.4181545274856042,0.4838766697984195,0.22342142537175547,0.09554734473444994,0.09345265400954583,0.4542115089138148,0.4927930602334615,0.12240204438903812,0.760448690639006,0.45397543263548606,0.05251688138642023,0.5795959518577797,0.2966280250595007,0.5899115234349446,0.452656237839995,0.5058436088959423,0.3921300399469643,0.5521036767458112,0.3915756152782917,0.33106829002252175,0.3385658887241286,0.1058378285569516,0.31997468233807574,0.3932304123328269,0.46250780235539457,0.37696329050091404,0.28082090244453656,0.1298057064975729,0.07500758653790433,0.0676669620048991,0.3569249583869092,0.1917527933542884,0.10916611195944965,0.5530119995140046,0.6276081111052941,0.5514256358097472,0.3647299092105008,0.2814003372003296,0.542562943326715,0.11406002005796956,0.18909234916242457,0.6496572461867213,0.2776970072125448,0.6408597334595592,0.5670661795036847,0.38294340233973956,0.06397925258858932,0.5857347945300744,0.07852130233441018,0.5996554431738952,0.3791884362277507,0.22070720120201764,0.34554012937121353,0.30322011385094366,0.4210776960884397,0.4197184287320815,0.738151024952731,0.48409776009831285,0.5427814133620747,0.6911198896406116,0.17821991614858906,0.9018171373760642,0.7322450312916146
1562,0.6643355512991191,0.6707647140041655,0.014748414658266675,0.38687780394352417,0.36154715471363325,0.6396729200634309,0.4132096157063388,0.5701844093511835,0.4390970406594267,0.6698096976257157,0.5924954510561092,0.39518999155591,0.109189903749656,0.4811071509911588,0.15147382213727828,0.2232466425738709,0.3577408565786714,0.10396199084580131,0.1424692562497991,0.642592596900049,0.7343242533430097,0.08962620152389923,0.4334426425393103,0.2437762587819964,0.08906181458037993,0.34146287178378243,0.5497004376215073,0.32497264156055344,0.3374813430425364,0.41989056204609954,0.5873206646085467,0.4494065951954368,0.32872321897381923,0.3720686516399173,0.5881450879731576,0.12734273845295027,0.5717877711286151,0.16812862038612839,0.3169973252948033,0.34773955403200474,0.34000954146682866,0.1292926042953338,0.06922377566240241,0.06678963888871578,0.30677321261856655,0.2557849533304015,0.0841001215874178,0.615639481286887,0.6475435092664277,0.5121572997055956,0.39848096582623,0.10326237680013306,0.30714634187297574,0.09582022655593085,0.18610442923655496,0.7375117100286505,0.17488255447468418,0.6019790741097749,0.6698887593959156,0.24496613740232423,0.0964215319361196,0.6196661882714124,0.09955886825600309,0.56268361288354,0.13410158640265418,0.16895388809402762,0.25109843131266474,0.34076412832282793,0.44626920538654624,0.5113904445889176,0.8231655831478792,0.5328105332432813,0.5008802889786785,0.7315618310217622,0.1324513521755925,0.9000744868874884,0.5760374981588922
3280,0.4938280196601974,0.5237883473663186,0.17443480377817572,0.27164273726707266,0.4314373040993796,0.19116690057749886,0.4338278598437397,0.3354479586372939,0.8010580514607509,0.5437834362132116,0.2537656011379162,0.3669487275127491,0.09001605882394945,0.31219931292392816,0.3312527905637307,0.4070433956608358,0.1977362244106182,0.10251404367680345,0.09520956954635798,0.47028919428112453,0.5080976161790913,0.12395247084296904,0.8179248356181547,0.5544457286517476,0.06123116221560758,0.6306543935507727,0.22783689849917588,0.5788168394239152,0.5153772831660767,0.6211268906830824,0.3848701051953276,0.6799276377623901,0.4461937731901162,0.3740758610854054,0.4702123391129539,0.11056148135892645,0.25823537771016064,0.41440022519766145,0.4661602595934248,0.29446816750196514,0.19664882935302103,0.11560979643280131,0.09373917244822857,0.04853001975165322,0.2153100453839252,0.1969924926039842,0.10555711673186911,0.17909702140561762,0.2597572417806013,0.4215471668257409,0.47290683140572737,0.30755652631828984,0.4039378300923616,0.11753691676139061,0.21114053905602595,0.2878897892780409,0.2168622745081277,0.26873264082500065,0.3246091513070333,0.3323779001564712,0.10963597602752083,0.3294176885151048,0.06557687404920992,0.7633067437490705,0.22384620664790508,0.39540676682037706,0.21936916591046532,0.24311715546535737,0.31848562131486047,0.29395352451790985,0.6959704441046795,0.7476247270653645,0.7987143705611122,0.6817919388216906,0.19403257013201416,0.9038128173510697,0.7635044715421546
