,y
0,0.03303787
1,0.04144749
2,0.03650418
3,0.03626418
4,0.041198134
5,0.040957898
6,0.03952706
7,0.031209022
8,0.036573112
9,0.035460234
10,0.036226004
11,0.034732908
12,0.03440115
13,0.033356458
14,0.024487019
15,0.037520796
16,0.037822306
17,0.04001105
18,0.040630817
19,0.037141293
20,0.03671342
21,0.039063394
22,0.034372956
23,0.040070117
24,0.035219103
25,0.021423161
26,0.039266914
27,0.033220857
28,0.0350568
29,0.029545605
30,0.036977917
31,0.037764996
32,0.033117265
33,0.03458342
34,0.03920409
35,0.036060154
36,0.03847292
37,0.04153627
38,0.03418213
39,0.015600175
40,0.02401793
41,0.023283184
42,0.024528176
43,0.034787685
44,0.015716732
45,0.028728783
46,0.03182605
47,0.0389674
48,0.03845501
49,0.023424387
50,0.024681449
51,0.032800317
52,0.035615087
53,0.03264028
54,0.02075231
55,0.03611201
56,0.037793607
57,0.036253095
58,0.018160641
59,0.037418395
60,0.022148848
61,0.031127214
62,0.036624998
63,0.036414027
64,0.035188735
65,0.032714486
66,0.019406289
67,0.03980884
68,0.028078675
69,0.030825227
70,0.028615087
71,0.036911428
72,0.025782377
73,0.03301683
74,0.03507036
75,0.032930195
76,0.034836978
77,0.035087615
78,0.036344945
79,0.018248051
80,0.03517908
81,0.03677523
82,0.036427677
83,0.032882303
84,0.02398032
85,0.03090918
86,0.036014587
87,0.030042142
88,0.022099048
89,0.029208004
90,0.030083835
91,0.032078236
92,0.030070037
93,0.030350149
94,0.037472546
95,0.036197215
96,0.028770238
97,0.017012596
98,0.03193596
99,0.024632603
100,0.03216648
101,0.041276693
102,0.0206348
103,0.04043591
104,0.031674773
105,0.040549845
106,0.03480354
107,0.031962425
108,0.027529925
109,0.03748104
110,0.03081429
111,0.033534408
112,0.029345244
113,0.03616792
114,0.03753531
115,0.034696847
116,0.030068904
117,0.01641938
118,0.035892367
119,0.030943096
120,0.037121117
121,0.034982383
122,0.028174728
123,0.034183323
124,0.021255553
125,0.023215234
